word_id,wake_word,word_type,priority,enabled,description
1,小德小德,exact,1,TRUE,主唤醒词-小德
2,小德,exact,2,TRUE,简化唤醒词-小德
3,德德,exact,2,TRUE,简化唤醒词-德德
4,小得,fuzzy,3,TRUE,容错匹配-同音字
5,晓得晓得,fuzzy,3,TRUE,容错匹配-同音字
6,小的小的,fuzzy,3,TRUE,容错匹配-同音字
7,小滴小滴,fuzzy,4,TRUE,容错匹配-近音字
8,小迪,fuzzy,4,TRUE,容错匹配-近音字
9,嗨AGV,exact,1,TRUE,主唤醒词-中文+大写
10,嗨agv,exact,1,TRUE,主唤醒词-中文+小写
11,嗨，AGV,exact,1,TRUE,主唤醒词-带逗号
12,嗨 AGV,exact,1,TRUE,主唤醒词-带空格+大写
13,嗨 agv,exact,1,TRUE,主唤醒词-带空格+小写
14,嗨A G V,exact,1,TRUE,主唤醒词-AGV分开大写
15,嗨a g v,exact,1,TRUE,主唤醒词-agv分开小写
16,hi AGV,exact,1,TRUE,主唤醒词-英文+大写
17,hi agv,exact,1,TRUE,主唤醒词-英文+小写
18,hi a g v,exact,1,TRUE,主唤醒词-英文agv分开
19,hi A G V,exact,1,TRUE,主唤醒词-英文AGV分开
20,HI AGV,exact,1,TRUE,主唤醒词-全大写
21,HI agv,exact,1,TRUE,主唤醒词-HI大写agv小写
22,hai AGV,exact,1,TRUE,主唤醒词-拼音全拼+大写
23,hai agv,exact,1,TRUE,主唤醒词-拼音全拼+小写
24,hai a g v,exact,1,TRUE,主唤醒词-拼音全拼agv分开
25,<|en|>hi agv,exact,1,TRUE,主唤醒词-带语言标签
26,<|en|>hi a g v,exact,1,TRUE,主唤醒词-带语言标签agv分开
27,<|en|>hi a v,exact,1,TRUE,主唤醒词-带语言标签缺g
28,hi a v,exact,1,TRUE,主唤醒词-缺g
29,嗨a v,exact,1,TRUE,主唤醒词-中文缺g
30,开AGV,fuzzy,3,TRUE,容错-"嗨"识别为"开"+大写
31,开agv,fuzzy,3,TRUE,容错-"嗨"识别为"开"+小写
32,开 AGV,fuzzy,3,TRUE,容错-"嗨"识别为"开"（带空格）+大写
33,开 agv,fuzzy,3,TRUE,容错-"嗨"识别为"开"（带空格）+小写
34,开 a g v,fuzzy,3,TRUE,容错-"嗨"识别为"开"（分开）
35,开A G V,fuzzy,3,TRUE,容错-"嗨"识别为"开"（分开大写）
36,kai agv,fuzzy,3,TRUE,容错-"嗨"拼音识别为"kai"
37,kai a g v,fuzzy,3,TRUE,容错-"嗨"拼音识别为"kai"（分开）
38,海AGV,fuzzy,3,TRUE,容错-音近字"海"+大写
39,海agv,fuzzy,3,TRUE,容错-音近字"海"+小写
40,海 agv,fuzzy,3,TRUE,容错-音近字"海"（带空格）
41,海a g v,fuzzy,3,TRUE,容错-音近字"海"（分开）
42,hai AGV,fuzzy,3,TRUE,容错-拼音"海"+大写
43,hai a g v,fuzzy,3,TRUE,容错-拼音"海"（分开）
44,孩AGV,fuzzy,3,TRUE,容错-音近字"孩"+大写
45,孩agv,fuzzy,3,TRUE,容错-音近字"孩"+小写
46,孩 agv,fuzzy,3,TRUE,容错-音近字"孩"（带空格）
47,害AGV,fuzzy,3,TRUE,容错-音近字"害"+大写
48,害agv,fuzzy,3,TRUE,容错-音近字"害"+小写
49,咳AGV,fuzzy,4,TRUE,容错-音近字"咳"
50,咳agv,fuzzy,4,TRUE,容错-音近字"咳"+小写
51,嗨A机V,fuzzy,3,TRUE,容错-AGV识别为"A机V"
52,嗨A几V,fuzzy,3,TRUE,容错-AGV识别为"A几V"
53,嗨a机v,fuzzy,3,TRUE,容错-agv识别为"a机v"
54,嗨a几v,fuzzy,3,TRUE,容错-agv识别为"a几v"
55,嗨诶机V,fuzzy,3,TRUE,容错-AGV识别为"诶机V"
56,嗨诶几V,fuzzy,3,TRUE,容错-AGV识别为"诶几V"
57,嗨诶鸡威,fuzzy,4,TRUE,容错-AGV完全音译
58,海A G V,fuzzy,3,TRUE,容错-海+AGV分开大写
59,海a g v,fuzzy,3,TRUE,容错-海+agv分开小写
60,嗨机器人,fuzzy,4,TRUE,容错-AGV说成机器人
61,嗨小车,fuzzy,4,TRUE,容错-AGV说成小车
62,hi 机器人,fuzzy,4,TRUE,容错-英文hi+中文机器人
63,hey agv,fuzzy,3,TRUE,容错-hey变体
64,hey a g v,fuzzy,3,TRUE,容错-hey变体（分开）
65,<|en|>hi g v,exact,1,TRUE,主唤醒词-缺少a
66,hi g v,exact,1,TRUE,主唤醒词-缺少a（无标签）
67,嗨g v,exact,1,TRUE,主唤醒词-中文缺少a
68,<|en|>hi h v,exact,1,TRUE,主唤醒词-a识别为h
69,hi h v,exact,1,TRUE,主唤醒词-a识别为h（无标签）
70,嗨h v,exact,1,TRUE,主唤醒词-中文a识别为h
71,<|en|>hi h t v,exact,1,TRUE,主唤醒词-ag识别为ht
72,hi h t v,exact,1,TRUE,主唤醒词-ag识别为ht（无标签）
73,嗨h t v,exact,1,TRUE,主唤醒词-中文ag识别为ht
74,<|en|>hi e g v,exact,1,TRUE,主唤醒词-a识别为e
75,hi e g v,exact,1,TRUE,主唤醒词-a识别为e（无标签）
76,嗨e g v,exact,1,TRUE,主唤醒词-中文a识别为e
