时间戳,success,text,filename,message
2025-11-20 14:47:10,True,<|en|>hi g v,temp_vad_recording_1763621230.wav,识别成功
2025-11-20 14:47:20,True,<|en|>hi juvi,temp_vad_recording_1763621240.wav,识别成功
2025-11-20 14:47:25,True,<|yue|>系朱 v,temp_vad_recording_1763621245.wav,识别成功
2025-11-20 14:47:29,True,<|yue|>系 a g v,temp_vad_recording_1763621248.wav,识别成功
2025-11-20 14:47:34,True,<|en|>hi g v,temp_vad_recording_1763621254.wav,识别成功
2025-11-20 14:47:40,True,<|yue|>系 g v,temp_vad_recording_1763621260.wav,识别成功
2025-11-20 14:47:50,True,<|yue|>系 a g v,temp_vad_recording_1763621270.wav,识别成功
2025-11-20 14:48:05,True,<|yue|>hi a g v,temp_vad_recording_1763621285.wav,识别成功
2025-11-20 14:48:08,True,<|yue|>hi朱意,temp_vad_recording_1763621287.wav,识别成功
2025-11-20 14:48:10,True,<|yue|>hi g v,temp_vad_recording_1763621290.wav,识别成功
2025-11-20 14:48:16,True,<|en|>hi julie,temp_vad_recording_1763621296.wav,识别成功
2025-11-20 14:48:19,True,<|en|>hi g v,temp_vad_recording_1763621299.wav,识别成功
2025-11-20 14:48:22,True,<|en|>hi juvi,temp_vad_recording_1763621302.wav,识别成功
2025-11-20 14:48:25,True,hi ju,temp_vad_recording_1763621305.wav,识别成功
2025-11-20 14:48:29,True,<|en|>hi ki we,temp_vad_recording_1763621309.wav,识别成功
2025-11-20 14:48:32,True,<|yue|>hi朱,temp_vad_recording_1763621312.wav,识别成功
2025-11-20 14:48:35,True,<|en|>hi ju,temp_vad_recording_1763621315.wav,识别成功
2025-11-20 14:48:38,True,hi a g v,temp_vad_recording_1763621317.wav,识别成功
2025-11-20 14:48:42,True,<|en|>hi ju v,temp_vad_recording_1763621321.wav,识别成功
2025-11-20 14:48:53,True,<|yue|>系 a g v,temp_vad_recording_1763621332.wav,识别成功
2025-11-20 14:49:06,True,<|en|>hi ju,temp_vad_recording_1763621346.wav,识别成功
